Commodity,Final_PnL (%)
coffee,137.53149052156328
wheat,44.285371540637776
natural_gas,141.41553468944946
sugar,48.146012759497715
gold,5.911428068200819
silver,36.88867502978517
cotton,22.26728238075958
copper,2.6339937000695604
corn,13.997813152593558
crude_oil,49.243255124057704
