Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Actual_Close,Predicted_Close,Signal
84.87999725341797,86.02999877929688,83.05999755859375,85.31999969482422,240441,0.0087490878192182,85.67500076293945,84.94499994913737,86.69239990234375,85.58470810050233,85.95499992370605,92.47552014424814,79.43447970316397,44.84796954429204,-0.3098087170039889,-0.2164383289347312,87.91000366210938,84.287445,0
85.06999969482422,88.41000366210938,84.13999938964844,87.91000366210938,287182,0.0303563522802294,85.73900146484375,84.92599995930989,86.72,86.0074891117036,86.24300003051758,92.56159030175776,79.92440975927741,48.94450170960361,-0.1062725389718508,-0.1944051709421552,89.08000183105469,87.52719,0
88.26000213623047,89.79000091552734,87.33000183105469,89.08000183105469,292556,0.0133090447071566,85.73600158691406,85.05866673787435,86.73940002441407,86.56612778794926,86.63549995422363,92.60875771104548,80.66224219740178,42.10993897164207,0.1477373979090259,-0.1259766571719189,87.9000015258789,87.94364,-1
88.66999816894531,88.76000213623047,87.08000183105469,87.9000015258789,263404,-0.013246523135616,85.96500167846679,85.15166676839193,86.68740005493164,86.80865028575465,87.05600013732911,92.0080533023784,82.10394697227983,42.73505593513751,0.2509333366716788,-0.0505946584031994,86.52999877929688,87.88218,0
88.38999938964844,88.6500015258789,85.30000305175781,86.52999877929688,285342,-0.0155859240364026,86.07200164794922,85.1783332824707,86.60260009765625,86.7579863754896,87.20100021362305,91.8937073514248,82.50829307582129,43.53804362458229,0.2196372480925958,0.0034517228959596,88.37000274658203,86.16617,1
86.43000030517578,89.44999694824219,85.91999816894531,88.37000274658203,274321,0.021264347547008,86.627001953125,85.30900014241537,86.56540008544921,87.05108026114276,87.29350051879882,92.00259141922773,82.58440961836992,52.54866828635026,0.3393954752503418,0.0706404733668361,90.0,87.50043,0
88.62000274658203,90.36000061035156,87.72000122070312,90.0,280961,0.0184451420477183,87.07200164794922,85.5443333943685,86.49060012817382,87.58724748638951,87.4055004119873,92.26544274273844,82.54555808123617,52.08235600729736,0.5593836623246204,0.1683891111583929,88.16999816894531,90.38546,-1
89.3499984741211,89.66999816894531,87.5999984741211,88.16999816894531,239816,-0.0203333536783854,87.29100112915039,85.70033340454101,86.35620010375976,87.69320215594512,87.39150047302246,92.24037448809902,82.5426264579459,56.49745170634983,0.5793812849075266,0.2505875459082197,92.61000061035156,88.28674,1
87.9000015258789,92.87000274658205,87.81999969482422,92.61000061035156,354060,0.0503572931111853,88.04700088500977,86.16266682942708,86.35800018310547,88.58716551129173,87.39000053405762,92.23205227568955,82.54794879242569,64.9020375465229,0.9426345311469788,0.3889969429559716,91.79000091552734,93.46041,-1
91.0,93.73999786376952,90.4000015258789,91.79000091552734,322419,-0.0088543320313136,88.76800079345703,86.6653335571289,86.33260025024414,89.16949922115275,87.42300071716309,92.38000759696575,82.46599383736043,70.23003109570016,1.1510792979167237,0.541413413948122,88.91000366210938,92.11083,0
91.87000274658205,92.16999816894533,88.5199966430664,88.91000366210938,344223,-0.0313759366455217,89.12700119018555,87.01233367919922,86.17060028076172,89.12231821041757,87.4010009765625,92.32579932908266,82.47620262404234,57.52688061778934,1.0715296414332869,0.647436659445155,85.83000183105469,88.96134,0
88.56999969482422,89.23999786376953,85.5,85.83000183105469,388301,-0.0346417917466275,88.91900100708008,87.13500035603842,86.05440032958984,88.52371523235159,87.32900123596191,92.30371585435256,82.35428661757128,49.69963661851422,0.7512950962247089,0.6682083468010659,86.47000122070312,86.400955,1
85.8499984741211,87.3499984741211,84.69999694824219,86.47000122070312,340007,0.0074565929860772,88.65800094604492,87.30966695149739,85.99280029296875,88.15031268477914,87.19700126647949,92.11248536651983,82.28151716643913,52.87681870425224,0.5428913999081857,0.6431449574224899,88.95999908447266,86.01709,0
86.2699966430664,90.0999984741211,86.18000030517578,88.95999908447266,301664,0.02879608914789,88.7640007019043,87.62533365885416,86.03980026245117,88.29752839381432,87.36450119018555,92.28059483494432,82.44840754542678,58.20224064134909,0.5720576622981213,0.6289274983976163,85.87000274658203,88.12774,-1
89.0199966430664,89.83999633789062,85.1500015258789,85.87000274658203,315450,-0.0347346714218881,88.69800109863282,87.7000005086263,86.01980026245117,87.85616009431753,87.38500137329102,92.27098307427794,82.4990196723041,50.94664887087598,0.3418941125747636,0.5715208212330458,86.91999816894531,86.41921,1
85.25,88.68000030517578,84.05999755859375,86.91999816894531,331709,0.0122277324883988,88.55300064086914,87.71333389282226,86.02060028076171,87.68594883515894,87.59000129699707,91.98934024010296,83.19066235389118,48.20064396429077,0.2414306345176413,0.505502783889965,85.58999633789062,86.16997,-1
86.88999938964844,87.51000213623047,84.19999694824219,85.58999633789062,225668,-0.0153014479874882,88.1120002746582,87.64100036621093,86.0936001586914,87.30486656292832,87.59200096130371,91.98747032538596,83.19653159722145,43.69352055635302,0.053871573909916,0.4151765418939552,81.63999938964844,84.5888,0
85.22000122070312,85.44999694824219,81.4000015258789,81.63999938964844,138476,-0.0461502175166412,87.45900039672851,87.41400044759115,86.05560012817382,86.27489071324108,87.37500076293945,92.4772545813586,82.27274694452029,39.71747174253747,-0.4087898007725528,0.2503832733606536,80.08000183105469,82.652855,0
82.08999633789062,82.63999938964844,77.23999786376953,80.08000183105469,96583,-0.0191082504930977,86.20600051879883,86.99533386230469,85.92140014648437,85.14854728011628,87.12650070190429,93.113030688527,81.13997071528159,39.47110817304459,-0.8910594602460833,0.0220947266393062,79.7300033569336,80.31473,0
