Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Future_Close,Predicted_Close,Signal,Strategy_Return,Cumulative_PnL
2023-11-22,468.75,473.75,467.75,468.75,126935,,470.825,479.475,480.57,471.2697213774017,473.4625,483.3981813132752,463.5268186867247,49.146757679180894,-3.6380963601087046,-3.4310494584421067,463.25,464.81223,-1,,
2023-11-24,468.0,470.5,462.5,463.25,113555,-0.011733333333333373,470.35,478.3833333333333,480.585,469.8115902178741,472.6625,483.19474997209807,462.130250027902,40.20979020979021,-4.0554502803506125,-3.555929622823808,455.5,457.2784,-1,0.011733333333333373,1.0117333333333334
2023-11-27,464.25,465.75,453.75,455.5,180939,-0.016729627630868826,469.5,477.125,480.17,467.2094829055334,471.4,483.7473841253085,459.0526158746914,36.27760252365931,-4.954454630621683,-3.835634624383383,451.5,452.17322,-1,0.016729627630868826,1.0286592552617377
2023-11-28,455.5,456.75,450.25,451.5,181371,-0.008781558726673966,466.925,475.8416666666666,479.77,464.3532132863455,470.0625,484.8414635346657,455.2835364653343,38.59060402684564,-5.921430065955235,-4.252793712697754,449.75,451.96048,1,0.008781558726673966,1.0376924869215554
2023-11-29,451.0,453.5,447.0,449.75,139560,-0.003875968992248069,464.075,474.53333333333336,479.24,461.6980835979191,468.6125,485.3617929937524,451.8632070062477,30.909090909090907,-6.751152357843864,-4.752465441726976,461.75,460.99512,1,-0.003875968992248069,1.0336704230187586
2023-11-30,449.75,462.75,449.75,461.75,14188,0.026681489716509077,463.175,473.525,478.83,461.707522943752,467.95,484.6836723248298,451.2163276751702,45.70446735395189,-6.367018514077415,-5.075376056197064,464.5,464.14627,1,0.026681489716509077,1.0612502897807932
2023-12-01,460.25,469.5,458.25,464.5,3312,0.005955603681645938,462.15,472.175,478.615,462.2152460448879,467.675,484.4475496288943,450.9024503711057,50.34965034965036,-5.774127114954695,-5.21512626794859,460.25,462.3419,-1,0.005955603681645938,1.0675706759137595
2023-12-04,461.25,463.75,457.0,460.25,1925,-0.00914962325080737,461.475,471.0,478.275,461.857928582181,466.825,483.27436408948574,450.37563591051423,36.400000000000006,-5.582840382138272,-5.288669090786526,468.5,467.24188,1,0.00914962325080737,1.0773385453919802
2023-12-05,460.25,468.5,460.25,468.5,639,0.017925040738729026,461.375,470.275,478.02,463.06557793087535,466.3875,482.11919362184574,450.65580637815424,43.01075268817204,-4.711230088539764,-5.173181290337174,464.75,465.1373,-1,0.017925040738729026,1.0966498827075344
2023-12-06,467.75,473.0,463.75,464.75,347,-0.008004268943436532,460.85,469.6333333333333,477.72,463.371836488898,466.2,481.9150614983153,450.4849385016847,45.45454545454545,-4.273800598244236,-4.9933051519185865,468.25,466.75296,1,0.008004268943436532,1.1054277633055136
