Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Future_Close,Predicted_Close,Signal,Strategy_Return,Cumulative_PnL
2023-11-23,2.8970000743865967,2.937999963760376,2.858999967575073,2.934000015258789,59224,,3.010700011253357,3.1229000012079875,3.0510799884796143,2.995724298238428,3.1615000009536742,3.606192920988792,2.716807080918556,26.815648092033754,-0.0523117861456801,-0.0085667320231723,2.8550000190734863,2.8850188,-1,,
2023-11-24,2.8970000743865967,2.950999975204468,2.7980000972747803,2.8550000190734863,34118,-0.02692569726463845,2.992900013923645,3.1101999998092653,3.055299987792969,2.970138065662984,3.1460500001907348,3.611370027159979,2.6807299732214904,31.082340621308504,-0.0612437172850275,-0.0191021290755433,2.7939999103546143,2.806657,-1,0.02692569726463845,1.0269256972646383
2023-11-27,2.7780001163482666,2.819999933242798,2.7090001106262207,2.7939999103546143,67039,-0.021366062455813184,2.9526000022888184,3.0996999979019164,3.056619987487793,2.938112946516007,3.118149995803833,3.59815846389595,2.638141527711716,33.00589441576244,-0.0724098404710931,-0.0297636713546533,2.7060000896453857,2.750314,-1,0.021366062455813184,1.048867055849874
2023-11-28,2.789999961853028,2.815000057220459,2.6689999103546143,2.7060000896453857,187190,-0.031495999832748645,2.912600016593933,3.08726666768392,3.053779988288879,2.8959106089031668,3.0746999979019165,3.537605272679633,2.6117947231242,31.343294868330503,-0.087352972933036,-0.0412815316703298,2.803999900817871,2.6782422,-1,0.031495999832748645,1.0819021724654974
2023-11-29,2.7920000553131104,2.869999885559082,2.759999990463257,2.803999900817871,141591,0.03621574572280517,2.874000000953674,3.078866664568584,3.0551999855041503,2.8791995710694764,3.0401999950408936,3.4734246786389726,2.6069753114428145,39.27601880248714,-0.0902474311167185,-0.0510747115596075,2.802000045776367,2.7622416,-1,-0.03621574572280517,1.0427202784905365
2023-11-30,2.799000024795532,2.8550000190734863,2.760999917984009,2.802000045776367,147752,-0.0007132150899579193,2.848000001907349,3.07369999885559,3.0590399885177613,2.865163293743457,3.006700003147125,3.4012257834164337,2.6121742228778166,39.490448070740285,-0.0916462408523535,-0.0591890174181567,2.813999891281128,2.7650228,-1,0.0007132150899579193,1.0434639623277613
2023-12-01,2.809000015258789,2.844000101089477,2.753999948501587,2.813999891281128,133190,0.004282600038800544,2.833399987220764,3.070866664250692,3.062579984664917,2.855860856932124,2.9716499924659727,3.293988351256929,2.649311633675016,29.778235425182004,-0.0907405201679005,-0.0654993179681055,2.694000005722046,2.759497,-1,-0.004282600038800544,1.0389952235222095
2023-12-04,2.727999925613404,2.752000093460083,2.6489999294281006,2.694000005722046,161786,-0.04264388422007004,2.8145999908447266,3.0631333271662395,3.063679986000061,2.826431611257564,2.943149995803833,3.257344240476037,2.6289557511316293,28.893436866318723,-0.0985694703865847,-0.0721133484518013,2.7100000381469727,2.6598046,-1,0.04264388422007004,1.0833020155392965
2023-12-05,2.6989998817443848,2.7860000133514404,2.674999952316284,2.7100000381469727,119974,0.005939136002577117,2.8009999990463257,3.054433329900106,3.06475998878479,2.805262234328365,2.921649992465973,3.237969133611488,2.6053308513204576,23.56826678528087,-0.1023036086221798,-0.078151400485877,2.569000005722046,2.670004,-1,-0.005939136002577117,1.0768681375371427
2023-12-06,2.6989998817443848,2.756999969482422,2.54099988937378,2.569000005722046,218374,-0.052029531527733486,2.768199992179871,3.039733330408732,3.0608599901199343,2.762305465490853,2.894799995422363,3.23545979060317,2.554140200241556,23.23559806075771,-0.115311228246675,-0.0855833660380366,2.5850000381469727,2.5588903,-1,0.052029531527733486,1.132897082250343
2023-12-07,2.569000005722046,2.621000051498413,2.489000082015991,2.5850000381469727,248396,0.006228116928489458,2.733299994468689,3.018766665458679,3.0536599922180176,2.730068115064693,2.872000002861023,3.23195263646146,2.512047369260586,27.544898382236312,-0.1229119392889872,-0.0930490806882267,2.5810000896453857,2.5521853,-1,-0.006228116928489458,1.1258412667541433
2023-12-08,2.559000015258789,2.609999895095825,2.5380001068115234,2.5810000896453857,190998,-0.0015473688365800209,2.7059000015258787,2.9993333339691164,3.046699995994568,2.702964837715728,2.849400007724762,3.223279463343879,2.4755205521056447,30.223383647731765,-0.1277852906779459,-0.0999963226861706,2.430999994277954,2.555716,-1,0.0015473688365800209,1.1275833584452544
2023-12-11,2.490000009536743,2.490000009536743,2.2939999103546143,2.430999994277954,330300,-0.0581170438425056,2.669600009918213,2.9686333338419595,3.0385199975967407,2.653516684363405,2.811100006103516,3.1919239799208667,2.4302760322861645,26.28570354227536,-0.1421130204202247,-0.1084196622329814,2.311000108718872,2.432014,1,0.0581170438425056,1.193115169924097
2023-12-12,2.437999963760376,2.4609999656677246,2.276000022888184,2.311000108718872,223455,-0.04936235534411171,2.630100011825561,2.926500002543132,3.0257600021362303,2.5912409433371257,2.771350014209747,3.186943556979932,2.355756471439563,18.961842896181764,-0.1612915685487146,-0.1189940434961281,2.3350000381469727,2.3102524,-1,-0.04936235534411171,1.1342201949398534
2023-12-13,2.2780001163482666,2.384999990463257,2.234999895095825,2.3350000381469727,255188,0.0103850836430317,2.5832000255584715,2.887866671880086,3.013220005035401,2.5446516878480065,2.728600013256073,3.1387328947340114,2.3184671317781342,17.830266327331813,-0.1725648917314863,-0.1297082131431997,2.3919999599456787,2.3073156,-1,-0.0103850836430317,1.1224412233457872
