Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Future_Close
2023-11-22,556.0,563.5,554.5,555.75,29106,0.0013513513513514,562.6,571.225,572.65,559.7174965940218,567.0625,591.6313479476594,542.4936520523406,45.41176470588236,-5.948066184905429,-3.7795099018119176,548.75
2023-11-24,555.0,555.75,546.5,548.75,26202,-0.0125955915429599,559.4,570.4666666666667,572.275,557.7234063041996,565.525,590.6587998467878,540.3912001532121,38.8235294117647,-6.497285694179027,-4.323065060285339,534.25
2023-11-27,550.0,552.75,527.5,534.25,41484,-0.0264236902050113,555.3,568.95,570.875,553.4555142488905,563.4625,591.7250263332637,535.1999736667362,32.34042553191489,-8.01023789438841,-5.060499627105954,543.75
2023-11-28,534.0,545.5,528.0,543.75,31630,0.0177819372952736,551.775,567.8333333333334,569.925,551.6908752945467,562.35,591.9136690266515,532.7863309733485,39.09465020576132,-8.346479784644998,-5.717695658613764,556.0
2023-11-29,544.5,559.0,542.75,556.0,19771,0.0225287356321839,550.175,567.35,569.365,552.47435251372,562.3375,591.9122380644453,532.7627619355546,33.780760626398205,-7.537592607100805,-6.081675048311173,570.25
2023-11-30,557.5,570.25,555.5,570.25,1556,0.0256294964028775,551.15,567.0166666666667,568.995,555.7062884203162,562.7625,592.5452550774203,532.9797449225798,45.41484716157205,-5.681198463929604,-6.001579731434859,577.0
2023-12-01,569.25,577.5,569.25,577.0,665,0.0118369136343707,553.5,566.45,569.02,559.577872343895,563.3375,593.7795394053927,532.8954605946072,50.75593952483801,-3.6235540672693114,-5.52597459860175,595.75
2023-12-04,583.0,595.75,583.0,595.75,371,0.0324956672443674,558.0,566.775,569.345,566.1546228268232,564.5,598.033957651775,530.966042348225,56.40535372848949,-0.4744189523100885,-4.515663469343418,620.75
2023-12-05,601.0,620.75,597.75,620.75,582,0.0419639110365086,565.725,567.8916666666667,569.98,576.081055040128,566.75,608.495469341329,525.004530658671,66.38655462184875,3.9925606272425966,-2.8140186500262154,615.75
2023-12-06,625.75,634.0,615.75,615.75,50,-0.0080547724526781,571.8,569.0666666666667,570.515,583.2935904873775,569.025,616.1820444589856,521.8679555410143,69.42003514938489,7.047971287835367,-0.8416206624538989,626.0
2023-12-07,622.75,626.0,622.75,626.0,93,0.0166463662200568,578.825,570.9833333333333,571.445,591.0583922169452,570.7125,623.4537439727291,517.9712560272709,74.91408934707904,10.179156605532398,1.3625347911433603,615.0
2023-12-08,618.75,619.0,615.0,615.0,17,-0.0175718849840255,585.45,572.1666666666666,572.17,595.4114118138642,572.425,628.6477945906317,516.2022054093682,70.89430894308943,11.638869813351675,3.4178017955850235,591.25
2023-12-11,591.25,591.25,591.25,591.25,198,-0.0386178861788617,591.15,572.6916666666667,573.165,594.6547914840708,573.225,630.0689461203013,516.3810538796987,64.02349486049927,10.755296174881323,4.885300671444284,607.0
2023-12-12,607.0,607.0,607.0,607.0,145,0.0266384778012684,597.475,574.0583333333333,574.01,596.8993748506033,574.625,633.4137610096864,515.8362389903136,64.89971346704871,11.19688040485596,6.147616618126619,585.25
2023-12-13,585.25,585.25,585.25,585.25,214,-0.035831960461285,600.4,575.025,574.345,594.7813066959482,575.2875,634.250082916727,516.324917083273,57.54475703324808,9.680208443669583,6.854134983235213,594.0
2023-12-14,594.0,594.0,594.0,594.0,46870,0.0149508756941478,602.775,576.1,575.025,594.6392509330485,576.9625,636.0594931998617,517.8655068001383,61.4702154626109,9.079622622869238,7.299232511162018,629.25
2023-12-15,616.0,630.0,610.75,629.25,52711,0.0593434343434342,608.0,578.225,576.045,600.9321143997669,580.75,643.1337866925898,518.3662133074102,71.78899082568807,11.317572505457406,8.102900510021097,617.0
2023-12-18,629.75,632.0,614.75,617.0,43591,-0.0194676201827572,610.125,579.7083333333334,577.02,603.8535481452639,584.0625,646.7738007108234,521.3511992891766,66.59116647791619,11.964768880642396,8.875274184145358,622.75
2023-12-19,618.25,624.25,611.25,622.75,42919,0.0093192868719611,610.325,581.275,578.02,607.2892666643068,588.025,649.9549051985055,526.0950948014945,65.57759626604434,12.794170383927964,9.65905342410188,610.0
2023-12-20,622.5,625.25,609.0,610.0,39373,-0.0204737053392212,609.75,582.6,579.05,607.7821272707964,590.775,651.4010973856277,530.1489026143722,59.34195064629847,12.281089847938915,10.183460708869289,612.5
2023-12-21,611.5,617.25,610.25,612.5,33648,0.0040983606557376,608.4,583.275,580.18,608.6399223124697,593.6125,652.627100111471,534.5978998885289,58.51318944844124,11.938578432586496,10.53448425361273,616.25
2023-12-22,612.5,618.25,610.75,616.25,26134,0.0061224489795919,608.525,584.4583333333334,581.075,610.0235728011115,596.9875,652.8349131239089,541.140086876091,55.29715762273902,11.833322156369036,10.794251834163992,636.25
2023-12-26,615.0,639.75,611.5,636.25,40674,0.0324543610547667,613.025,586.4916666666667,582.205,614.7920141100003,602.0875,652.1407019586827,552.0342980413172,54.11140583554377,13.211445334188738,11.277690534168942,623.0
2023-12-27,636.0,637.5,619.25,623.0,38063,-0.0208251473477406,614.625,587.9583333333334,583.12,616.2843751809094,606.05,648.6505312544188,563.4494687455812,51.84243964421855,13.083633632090937,11.638879153753342,631.5
2023-12-28,624.25,636.25,621.75,631.5,32254,0.0136436597110753,619.25,589.9416666666667,584.34,619.050852420744,609.825,646.7545559851985,572.8954440148016,51.410256410256416,13.51245769874265,12.013594862751203,628.0
2023-12-29,631.0,633.5,621.5,628.0,34752,-0.0055423594615994,622.65,592.1916666666667,585.295,620.6779701624268,612.7125,645.4005289531627,580.0244710468372,53.46666666666667,13.41524056921071,12.293924004043108,606.75
2024-01-02,628.75,628.75,604.75,606.75,61472,-0.0338375796178344,620.4,593.9666666666667,585.55,618.1456119510765,614.2,642.4519677936105,585.9480322063896,54.18918918918919,11.491036372919666,12.13334647781842,600.25
2024-01-03,608.0,609.75,598.25,600.25,63996,-0.0107128141738772,618.725,595.6166666666667,585.835,614.891864323608,614.425,642.1245629834543,586.7254370165456,48.0796586059744,9.333998482686866,11.57347687879211,613.5
2024-01-04,601.5,614.5,591.25,613.5,63693,0.0220741357767597,617.8,597.95,586.36,614.638798082952,614.0625,641.6028412240574,586.5221587759426,58.44544095665172,8.59462123555079,10.977705750143846,616.0
2024-01-05,613.0,621.5,611.5,616.0,43101,0.0040749796251018,618.4,599.9833333333333,587.07,614.886289340597,614.075,641.6187928818176,586.5312071181825,56.83229813664596,8.11682286545215,10.405529173205508,596.25
2024-01-08,617.0,617.25,593.0,596.25,70376,-0.0320616883116883,616.775,601.3333333333334,587.625,611.4978730968521,612.5875,640.6284826954588,584.5465173045411,38.65979381443299,6.074481431723143,9.539319624909036,610.0
2024-01-09,596.0,613.75,594.0,610.0,57128,0.0230607966457023,616.15,603.375,588.235,611.225532533788,612.3375,640.3770749461115,584.2979250538884,47.61904761904762,5.501997614052357,8.7318552227377,610.75
2024-01-10,610.25,612.0,603.75,610.75,40391,0.0012295081967212,613.6,605.925,588.94,611.1390720730992,613.3125,639.5637531029354,587.0612468970646,45.77464788732394,5.050598638794099,7.99560390594898,603.75
