Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line
2014-01-06,94.18000030517578,94.58999633789062,93.1999969482422,93.43000030517578,189379,,,,,93.43000030517578,,,,,0.0,0.0
2014-01-07,93.5999984741211,94.22000122070312,93.3499984741211,93.66999816894533,177182,0.002568745188757715,,,,93.47363628040661,,,,,0.01914512873375429,0.0038290257467508584
2014-01-08,93.95999908447266,94.18000030517578,92.26000213623048,92.33000183105467,244855,-0.014305501911869412,,,,93.26570274416079,,,,,-0.07296759939755759,-0.011530299282110832
2014-01-09,92.58000183105467,92.93000030517578,91.23999786376952,91.66000366210938,255784,-0.007256559684372776,,,,92.97375745651507,,,,,-0.19775129902429,-0.04877449923054667
2014-01-10,92.3000030517578,93.37999725341795,91.98999786376952,92.72000122070312,255988,0.011564450319042852,,,,92.92761995909471,,,,,-0.20870451999476813,-0.08076050338339097
2014-01-13,92.83000183105467,92.87999725341795,91.43000030517578,91.8000030517578,212208,-0.009922326971884332,,,,92.72259870321527,,,,,-0.28829787161120635,-0.12226797702895406
2014-01-14,91.51000213623048,92.87999725341795,91.5,92.58999633789062,243474,0.008605591066129126,,,,92.69848918224714,,,,,-0.2843524818572263,-0.1546848779946085
2014-01-15,92.6500015258789,94.63999938964844,92.43000030517578,94.16999816894533,263295,0.017064498256256222,,,,92.96603627073772,,,,,-0.15198084829795278,-0.15414407205527736
2014-01-16,94.29000091552734,94.63999938964844,93.5999984741211,93.95999908447266,165135,-0.002229999878474276,,,,93.14675678232588,,,,,-0.0632909672245745,-0.1359734510891368
2014-01-17,94.16999816894533,94.94000244140624,93.94000244140624,94.37000274658205,119887,0.004363597978973788,93.07000045776367,,,93.36916513946336,,,,,0.03962351626014993,-0.10085405761927946
2014-01-21,94.0,95.2300033569336,93.43000030517578,94.98999786376952,244861,0.0065698325648286815,93.22600021362305,,,93.66386199842812,,,,,0.16926127174308192,-0.04683099174680719
2014-01-22,95.1999969482422,96.88999938964844,95.12000274658205,96.7300033569336,252349,0.018317775895305477,93.53200073242188,,,94.2213422454291,,,,,0.40770426741097765,0.04407606008474978
2014-01-23,96.69000244140624,97.83999633789062,96.41000366210938,97.31999969482422,274078,0.0060994140123571405,94.03100051879883,,,94.78473450895548,,,,,0.6369376127100139,0.1626483706098026
2014-01-24,97.37000274658205,97.8000030517578,96.25,96.63999938964844,239673,-0.006987261686273394,94.52900009155273,,,95.1220553963542,,,,64.79264539292836,0.7550328006344387,0.28112525661472987
2014-01-27,96.9000015258789,97.18000030517578,95.20999908447266,95.72000122070312,235110,-0.009519848662621788,94.82900009155273,,,95.23077281896309,,,,59.728141620454785,0.765562990794578,0.37801280345069954
2014-01-28,95.66000366210938,97.66000366210938,95.62999725341795,97.41000366210938,206490,0.017655687629062777,95.39000015258789,,,95.62699660862604,,,,64.14527028976713,0.8999037847838309,0.48239099971732585
2014-01-29,97.16999816894533,97.75,96.31999969482422,97.36000061035156,200486,-0.0005133256326655955,95.86700057983398,,,95.94208824530341,,,,71.08131545423382,0.9909123823869663,0.584095276251254
2014-01-30,97.41999816894533,98.58999633789062,97.33000183105467,98.2300033569336,199420,0.008935936124979227,96.27300109863282,,,96.35807281105434,,,,77.08162070264652,1.1203248943972568,0.6913411998804546
2014-01-31,97.97000122070312,98.38999938964844,97.0999984741211,97.48999786376952,253457,-0.007533395784128705,96.6260009765625,,,96.56387736609345,,,,70.19472712813806,1.149917451139828,0.7830564501323293
