Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Actual_Close,Predicted_Close,Signal
681.5,687.5,677.75,686.25,116661,0.0069699192956713,685.925,683.0916666666667,675.325,684.4856278540221,683.725,699.3420453435751,668.1079546564249,51.51515151515152,2.216609402109384,3.291383372836257,685.0,684.0201,0
684.25,689.75,683.25,685.0,106226,-0.0018214936247723,685.125,682.2916666666666,676.805,684.5791500623817,684.45,698.7748036635804,670.1251963364197,57.089552238805965,2.0947140184033515,3.0520495019496763,682.25,672.44055,0
685.0,689.25,679.25,682.25,112300,-0.0040145985401459,683.575,682.45,678.15,684.1556682328577,685.0875,697.6355916980743,672.5394083019256,49.19354838709677,1.755967332953901,2.792833068150521,680.75,675.93097,0
681.25,683.75,676.25,680.75,115074,-0.0021986075485526,682.675,682.5666666666667,679.37,683.5364558268835,685.25,697.4640988421758,673.0359011578242,31.95876288659794,1.3508983647760715,2.504446127475632,691.5,675.83795,0
696.5,700.0,684.25,691.5,226696,0.0157914065369078,683.475,683.0083333333333,680.68,684.9843729492683,685.7875,698.113419416977,673.4615805830231,48.61111111111112,1.875691641961339,2.3786952303727733,697.75,681.35583,0
689.0,698.5,687.25,697.75,146466,0.0090383224873462,685.15,683.2,681.965,687.3053960494013,686.525,699.8714956961948,673.1785043038052,53.94190871369295,2.7640545612150618,2.455767096541232,687.5,681.2795,0
696.5,697.25,680.0,687.5,168334,-0.0146900752418488,686.075,683.2666666666667,682.515,687.3407785858737,686.7,699.9987929804538,673.4012070195463,42.20532319391634,2.610902380445623,2.48679415332211,679.25,681.49603,-1
686.0,686.5,678.5,679.25,123352,-0.012,685.6,682.9666666666667,682.785,685.8697279338967,686.8875,699.6148793143227,674.1601206856774,42.04545454545455,1.8030378242251568,2.3500428875027195,681.0,673.7853,1
679.25,685.25,678.5,681.0,112564,0.0025763709974235,685.275,683.1083333333333,683.255,684.9843228550064,686.775,699.6763463189789,673.8736536810211,47.96747967479675,1.289149208106778,2.1378641516235315,675.75,673.55133,0
679.0,680.75,675.25,675.75,162563,-0.0077092511013215,684.7,683.425,683.395,683.3053550631871,685.65,698.2588941040219,673.041105895978,45.91439688715953,0.453035344104137,1.8008983901196527,667.5,672.3512,-1
675.75,677.0,666.25,667.5,227158,-0.0122086570477247,682.825,683.425,683.07,680.4316541426076,684.375,698.8704620848305,669.8795379151695,42.29390681003584,-0.8653220746341503,1.2676542971688922,664.5,668.38696,0
667.0,671.75,658.0,664.5,246968,-0.0044943820224718,680.775,683.225,682.765,677.5349897530426,682.95,699.3533051868445,666.5466948131556,35.44776119402985,-2.127678205273696,0.5885877966803745,653.25,667.98083,0
664.5,667.25,652.75,653.25,229081,-0.0169300225733634,677.875,682.6833333333333,682.355,673.1195370706712,680.725,700.4179722971132,661.0320277028868,30.12820512820514,-3.989892516113628,-0.3271082658784259,658.0,656.09265,1
653.75,661.0,653.5,658.0,233358,0.0072713356295446,675.6,682.0333333333333,682.35,670.3705303305491,679.1375,700.7887276302031,657.486272369797,35.3125,-5.024506092798902,-1.266587831262521,657.25,652.61176,0
657.0,662.0,652.25,657.25,181567,-0.0011398176291793,672.175,681.25,682.115,667.9849793613582,677.825,701.4548762720357,654.1951237279644,30.921052631578945,-5.837670506523295,-2.180804366314676,666.75,655.9472,0
657.0,675.0,651.25,666.75,234097,0.0144541650817802,669.075,680.7083333333334,681.835,667.7604376592931,677.1125,701.1943095796747,653.0306904203252,39.169139465875375,-5.650404215207345,-2.8747243360932098,665.25,671.21765,-1
665.25,666.0,657.5,665.25,121435,-0.0022497187851518,666.85,680.0833333333334,681.605,667.3039944485125,676.4625,701.1101618940264,651.8148381059735,39.75903614457832,-5.558951659729701,-3.411569800820508,667.5,666.0132,1
665.0,668.25,654.75,667.5,138561,0.0033821871476888,665.675,679.8166666666667,681.465,667.3396318215102,675.6375,700.3274057788514,650.9475942211487,42.08955223880597,-5.244463741224422,-3.778148588901291,667.75,665.0688,0
667.5,672.75,665.25,667.75,131275,0.0003745318352059,664.35,679.3,680.85,667.4142442175992,674.8125,699.3931272670621,650.2318727329379,33.788395904436854,-4.918361084375761,-4.006191087996185,659.5,670.9764,-1
666.5,666.75,657.25,659.5,143717,-0.0123549232497192,662.725,678.0083333333333,679.795,665.9752907234902,673.7125,698.9921334708632,648.4328665291367,24.584717607973417,-5.264937508960315,-4.257940372189011,656.75,664.96295,0
659.5,663.0,656.25,656.75,107549,-0.0041698256254738,661.65,676.8,678.75,664.297965137401,672.2375,697.876940732059,646.5980592679409,27.306273062730625,-5.695845676267709,-4.54552143300475,663.25,655.3544,1
657.75,663.75,655.75,663.25,104569,0.0098972211648267,661.525,675.8083333333333,677.835,664.1074260215099,671.15,696.351503714537,645.948496285463,37.87878787878788,-5.450023349499816,-4.726421816303764,668.0,656.43616,0
661.25,669.75,661.0,668.0,71244,0.0071617037316245,663.0,674.8166666666667,677.645,664.8151667448717,670.4375,695.118024497543,645.756975502457,40.57971014492754,-4.816401602322685,-4.744417773507548,668.75,664.4644,0
665.0,670.0,661.0,668.75,149233,0.0011227544910179,664.075,674.1166666666667,677.475,665.5305909730769,669.8375,694.0412812400444,645.6337187599555,44.57364341085271,-4.20525748014893,-4.6365857148358245,665.75,664.8363,0
667.5,671.25,665.25,665.75,110381,-0.0044859813084112,664.925,673.525,677.225,665.5704835234264,668.55,690.5401892000222,646.5598107999778,48.52320675105485,-3.917833937361479,-4.492835359340956,662.0,669.08484,-1
